Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Latitude,Longitude,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1994,Technological,Technological,Transport accident,Air,,,Kill,Mauritania,MRT,Western Africa,Africa,Nouakchott,18.079021,-15.965662,,,,,,,,,,,,,,1994,7,1,1994,7,1,80,7,,,7,,,,57.97797424
2005,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Kill,Mauritania,MRT,Western Africa,Africa,Nouakchott,18.079021,-15.965662,,,,,No,No,,,Vaccinated,,,,,2005,7,20,2005,10,23,55,,2585,,2585,,,,76.38802721
2011,Technological,Technological,Transport accident,Water,,,Kill,Mauritania,MRT,Western Africa,Africa,Nouakchott,18.079021,-15.965662,,,,,No,No,,,,,,,,2011,4,28,2011,4,29,12,,,,,,,,87.98460292
2020,Natural,Hydrological,Flood,,,,Waiting,Mauritania,MRT,Western Africa,Africa,Nouakchott,18.079021,-15.965662,Heavy rains,,,,,,,,Km2,,,,,2020,9,1,2020,9,15,9,,10000,700,10700,,,,
1999,Natural,Hydrological,Flood,Riverine flood,,,Declar/Int,Mauritania,MRT,Western Africa,Africa,Rosso,16.51378,-15.80503,,,,,,,,,Km2,,,,,1999,10,9,1999,10,9,,,200,,200,,,,65.15554686
2013,Natural,Hydrological,Flood,Riverine flood,,,Affected,Mauritania,MRT,Western Africa,Africa,Rosso,16.51378,-15.80503,Heavy rains,,,Yes,,,,,Km2,,,,,2013,8,5,2013,9,25,8,,4225,2305,6530,,,2000,91.12079403
2002,Natural,Hydrological,Flood,,,,Kill,Mauritania,MRT,Western Africa,Africa,Rosso ,16.51378,-15.80503,,,,Yes,,,,,Km2,,,,,2002,1,9,2002,1,9,25,,27500,,27500,,,,70.35781897
2009,Natural,Hydrological,Flood,Riverine flood,,,Affected,Mauritania,MRT,Western Africa,Africa,Rosso ,16.51378,-15.80503,Heavy rains,,,Yes,,,50,,Km2,,,,,2009,8,28,2009,8,29,1,,10000,,10000,,,,83.91580741
2019,Natural,Hydrological,Flood,,,,Waiting,Mauritania,MRT,Western Africa,Africa,Sélibaby,15.15846,-12.1843,Heavy rains,,,,,,,,Km2,,,,,2019,8,26,2019,8,27,3,,33600,,33600,,,,100
2001,Technological,Technological,Transport accident,Water,,,Kill,Mauritania,MRT,Western Africa,Africa,Senegal river,16.50766464,-15.80299679,,,,,,,,,,,,,,2001,4,12,2001,4,12,11,,,,,,,,69.25933995
2020,Natural,Climatological,Drought,Drought,,,Affected,Mauritania,MRT,Western Africa,Africa,Tagant,18.66667,-10.33333,,Food shortage,,,,,,,Km2,,,,,2020,6,,2020,11,,,,609000,,609000,,,,
1965,Natural,Climatological,Drought,Drought,,,,Mauritania,MRT,Western Africa,Africa,Tichitt,18.43833158,-9.48833138,,,,Yes,,,,,Km2,,,,,1965,1,,1965,,,,,46000,,46000,,,,12.32443267
1993,Natural,Climatological,Drought,Drought,,,,Mauritania,MRT,Western Africa,Africa,Trarza,17.9833294,-14.7333304,,,,,,,,,Km2,,,,,1993,,,1993,,,,,446507,,446507,,,,56.50464564
